id,matched,rmsd
JVASP-14504,0,
JVASP-118334,0,
JVASP-67853,0,
JVASP-37103,0,
JVASP-14713,1,9.751434971472343e-17
JVASP-91708,0,
JVASP-11987,0,
JVASP-116346,0,
JVASP-40500,1,1.8898815746913512e-06
JVASP-85032,0,
JVASP-41894,1,1.889881574847596e-06
JVASP-19783,1,1.457603201406001e-16
JVASP-67604,0,
JVASP-134931,0,
JVASP-36173,1,0.0
JVASP-38887,1,1.8966219149234693e-06
JVASP-15727,0,
JVASP-18765,1,1.7788642155311302e-16
JVASP-93220,1,0.0
JVASP-17902,0,
JVASP-18219,1,2.5150856113564956e-16
JVASP-40030,0,
JVASP-138738,0,
JVASP-67811,0,
JVASP-117964,0,
JVASP-19755,1,1.0304510962608315e-16
JVASP-74557,1,4.206900775079272e-05
JVASP-14508,1,0.4338591259018891
JVASP-19769,0,
JVASP-120303,0,
JVASP-62158,0,
JVASP-39222,1,0.0
JVASP-7935,1,1.9856946825405379e-16
JVASP-35775,1,0.0
JVASP-17455,0,
JVASP-39845,1,2.1822472720926023e-06
JVASP-39772,1,2.182247147003142e-06
JVASP-120108,0,
JVASP-134667,0,
JVASP-37753,1,3.0908279866987566e-06
JVASP-20517,1,2.720660409470653e-16
JVASP-115500,1,0.40719619893354897
JVASP-20590,1,0.0
JVASP-961,1,0.0
JVASP-16583,1,4.7921033409696e-16
JVASP-56205,0,
JVASP-39836,1,1.8898815748819879e-06
JVASP-17912,0,
JVASP-134821,0,
JVASP-137891,0,
JVASP-36265,1,5.414538633486404e-16
JVASP-14960,0,
JVASP-14903,1,0.0032558435082543622
JVASP-139627,0,
JVASP-113989,0,
JVASP-19736,1,0.4859238172349945
JVASP-15912,1,2.4320711115097167e-16
JVASP-40492,1,2.1822472722459873e-06
JVASP-37092,0,
JVASP-116053,0,
JVASP-105726,0,
JVASP-41603,0,
JVASP-113491,1,0.39891746384899207
JVASP-39970,1,1.8898815748123636e-06
JVASP-15729,1,0.0
JVASP-19914,1,0.001411871937560525
JVASP-114341,1,0.4006801900627359
JVASP-67265,0,
JVASP-118592,1,0.06878894652903851
JVASP-41865,1,1.889881574981347e-06
JVASP-100039,0,
JVASP-136919,0,
JVASP-121083,0,
JVASP-36745,1,0.23187496210933403
JVASP-90839,0,
JVASP-99747,0,
JVASP-102805,1,0.39148214760486905
JVASP-14646,1,0.0
JVASP-70115,1,1.503558202640768e-05
JVASP-14933,1,0.01817528321110808
JVASP-134385,0,
JVASP-20620,1,0.004399727300915762
JVASP-65132,0,
JVASP-106126,0,
JVASP-56726,0,
JVASP-94831,1,0.0014800779885897298
JVASP-129329,0,
JVASP-11984,1,0.005786114510246046
JVASP-40613,1,2.1822472721965697e-06
JVASP-17669,0,
JVASP-16463,0,
JVASP-100385,0,
JVASP-106847,1,0.004109777811937946
JVASP-69967,0,
JVASP-16550,1,0.07971482206387734
JVASP-17540,1,4.2211240862915384e-16
JVASP-68524,0,
JVASP-20098,1,0.0
JVASP-40540,1,1.8898815748194192e-06
JVASP-111325,1,1.724588734780965e-16
JVASP-74781,0,
JVASP-910,0,
JVASP-71553,0,
