id,matched,rmsd
JVASP-14504,1,4.5525332600715375e-16
JVASP-118334,0,
JVASP-67853,0,
JVASP-37103,0,
JVASP-14713,1,9.748464779905821e-17
JVASP-91708,0,
JVASP-11987,1,0.0
JVASP-116346,0,
JVASP-40500,1,1.8898815746473557e-06
JVASP-85032,0,
JVASP-41894,1,1.8898815748071732e-06
JVASP-19783,1,0.13188886935222657
JVASP-67604,0,
JVASP-134931,0,
JVASP-36173,1,0.0
JVASP-38887,1,1.8946205162005144e-06
JVASP-15727,0,
JVASP-18765,1,1.9770401161570954e-16
JVASP-93220,1,0.0
JVASP-17902,0,
JVASP-18219,1,1.879428543096925e-16
JVASP-40030,1,2.1822451995953958e-06
JVASP-138738,0,
JVASP-67811,0,
JVASP-117964,0,
JVASP-19755,0,
JVASP-74557,0,
JVASP-14508,1,3.571106491369996e-16
JVASP-19769,0,
JVASP-120303,0,
JVASP-62158,0,
JVASP-39222,1,0.0
JVASP-7935,1,2.836245214851438e-16
JVASP-35775,1,0.0
JVASP-17455,1,0.02181064162492966
JVASP-39845,1,2.18224727208012e-06
JVASP-39772,1,2.1822471469522583e-06
JVASP-120108,0,
JVASP-134667,0,
JVASP-37753,1,3.0911335075333716e-06
JVASP-20517,1,1.7112567534683088e-16
JVASP-115500,0,
JVASP-20590,1,0.0
JVASP-961,0,
JVASP-16583,1,3.957886688882416e-16
JVASP-56205,1,0.39575163105397315
JVASP-39836,1,1.8898815747823776e-06
JVASP-17912,0,
JVASP-134821,0,
JVASP-137891,0,
JVASP-36265,1,3.9066371865579965e-16
JVASP-14960,0,
JVASP-14903,1,0.003036507675714848
JVASP-139627,0,
JVASP-113989,0,
JVASP-19736,1,0.008048078766346571
JVASP-15912,1,2.726068282762209e-16
JVASP-40492,1,2.182247272072521e-06
JVASP-37092,0,
JVASP-116053,0,
JVASP-105726,0,
JVASP-41603,1,1.8898815748755646e-06
JVASP-113491,1,0.2716127570899765
JVASP-39970,1,1.889881574865834e-06
JVASP-15729,1,0.4755916329791347
JVASP-19914,1,0.002672060244779849
JVASP-114341,0,
JVASP-67265,0,
JVASP-118592,1,0.07047647555308781
JVASP-41865,1,1.8898815748186103e-06
JVASP-100039,0,
JVASP-136919,0,
JVASP-121083,0,
JVASP-36745,0,
JVASP-90839,0,
JVASP-99747,1,1.9784633619224298e-16
JVASP-102805,0,
JVASP-14646,1,0.0
JVASP-70115,1,1.5059146406125461e-05
JVASP-14933,1,0.013999635914331928
JVASP-134385,0,
JVASP-20620,1,0.0002802204702710648
JVASP-65132,0,
JVASP-106126,0,
JVASP-56726,0,
JVASP-94831,1,0.00038369029017633517
JVASP-129329,0,
JVASP-11984,0,
JVASP-40613,1,2.182247272095747e-06
JVASP-17669,0,
JVASP-16463,1,2.325909631098936e-16
JVASP-100385,1,0.00613677779122397
JVASP-106847,1,0.4327130493338765
JVASP-69967,0,
JVASP-16550,1,0.00550902546583257
JVASP-17540,1,2.814087770374423e-16
JVASP-68524,0,
JVASP-20098,1,0.0
JVASP-40540,1,1.8898815748492865e-06
JVASP-111325,1,9.228746747734772e-17
JVASP-74781,0,
JVASP-910,0,
JVASP-71553,1,0.011030495019198118
