id,matched,rmsd
JVASP-14504,1,3.9445062599424125e-16
JVASP-118334,0,
JVASP-67853,0,
JVASP-37103,0,
JVASP-14713,1,9.750757353255941e-17
JVASP-91708,0,
JVASP-11987,0,
JVASP-116346,0,
JVASP-40500,1,1.889881574731455e-06
JVASP-85032,0,
JVASP-41894,1,1.8898815748927416e-06
JVASP-19783,0,
JVASP-67604,0,
JVASP-134931,0,
JVASP-36173,1,0.0
JVASP-38887,1,1.896255443847432e-06
JVASP-15727,1,0.46283291983461
JVASP-18765,1,1.793784708301175e-16
JVASP-93220,1,0.0
JVASP-17902,1,0.0004497443201521503
JVASP-18219,1,1.71735388138341e-16
JVASP-40030,1,2.182245199585554e-06
JVASP-138738,0,
JVASP-67811,0,
JVASP-117964,0,
JVASP-19755,0,
JVASP-74557,1,4.3001795490054e-05
JVASP-14508,1,0.43808139391735273
JVASP-19769,0,
JVASP-120303,1,0.433344083222969
JVASP-62158,0,
JVASP-39222,1,0.0
JVASP-7935,1,3.59662505341246e-16
JVASP-35775,1,0.0
JVASP-17455,0,
JVASP-39845,1,2.182247272076431e-06
JVASP-39772,1,2.182247146992915e-06
JVASP-120108,0,
JVASP-134667,0,
JVASP-37753,1,3.090876665080366e-06
JVASP-20517,1,2.2858848846865346e-16
JVASP-115500,0,
JVASP-20590,1,0.0
JVASP-961,1,0.0
JVASP-16583,1,3.88143065721099e-16
JVASP-56205,0,
JVASP-39836,1,1.8898815749308602e-06
JVASP-17912,0,
JVASP-134821,0,
JVASP-137891,0,
JVASP-36265,1,3.254274539454982e-16
JVASP-14960,0,
JVASP-14903,0,
JVASP-139627,0,
JVASP-113989,0,
JVASP-19736,0,
JVASP-15912,1,3.0325319208733613e-16
JVASP-40492,1,2.182247272005242e-06
JVASP-37092,0,
JVASP-116053,0,
JVASP-105726,0,
JVASP-41603,1,1.8898815749467173e-06
JVASP-113491,0,
JVASP-39970,1,1.8898815747366819e-06
JVASP-15729,1,0.0
JVASP-19914,1,0.002861076483030467
JVASP-114341,0,
JVASP-67265,0,
JVASP-118592,1,0.07131417441134602
JVASP-41865,1,1.8898815749119995e-06
JVASP-100039,0,
JVASP-136919,0,
JVASP-121083,0,
JVASP-36745,0,
JVASP-90839,0,
JVASP-99747,1,1.8368826196788403e-16
JVASP-102805,0,
JVASP-14646,1,0.0
JVASP-70115,1,1.5062555380419262e-05
JVASP-14933,1,0.013760227894526293
JVASP-134385,0,
JVASP-20620,0,
JVASP-65132,0,
JVASP-106126,0,
JVASP-56726,0,
JVASP-94831,1,0.0005564111671279022
JVASP-129329,0,
JVASP-11984,0,
JVASP-40613,1,2.182247272098521e-06
JVASP-17669,0,
JVASP-16463,1,2.0037808734628544e-16
JVASP-100385,0,
JVASP-106847,0,
JVASP-69967,0,
JVASP-16550,0,
JVASP-17540,1,4.869452142309281e-16
JVASP-68524,0,
JVASP-20098,1,0.0
JVASP-40540,1,1.8898815747164666e-06
JVASP-111325,1,2.953768395330457e-16
JVASP-74781,0,
JVASP-910,0,
JVASP-71553,0,
