arm,seed,stage,elapsed_s,hosts
A0,0,train,1305.6,dscog003;dscog007
A0,0,generate,1341.4,dscog003;dscog007
A0,0,symmetrize,3.1,dscog003;dscog007
A0,0,score-nosym,9.8,dscog003;dscog007
A0,0,score-sym,6.8,dscog003;dscog007
A0,1,train,1340.0,dscog003;dscog007
A0,1,generate,1337.5,dscog003;dscog007
A0,1,symmetrize,2.9,dscog003;dscog007
A0,1,score-nosym,7.7,dscog003;dscog007
A0,1,score-sym,6.8,dscog003;dscog007
A0,2,train,1368.8,dscog003;dscog010
A0,2,generate,1309.4,dscog003;dscog010
A0,2,symmetrize,3.1,dscog003;dscog010
A0,2,score-nosym,7.7,dscog003;dscog010
A0,2,score-sym,7.1,dscog003;dscog010
A1,0,train,1475.5,dscog003
A1,0,generate,1335.4,dscog003
A1,0,symmetrize,3.0,dscog003
A1,0,score-nosym,9.9,dscog003
A1,0,score-sym,6.8,dscog003
A1,1,train,1585.9,dscog004
A1,1,generate,1157.4,dscog004
A1,1,symmetrize,3.2,dscog004
A1,1,score-nosym,10.3,dscog004
A1,1,score-sym,7.2,dscog004
A1,2,train,1456.8,dscog006
A1,2,generate,1271.3,dscog006
A1,2,symmetrize,3.1,dscog006
A1,2,score-nosym,7.7,dscog006
A1,2,score-sym,7.0,dscog006
A2,0,train,1302.4,dscog006
A2,0,generate,1269.7,dscog006
A2,0,symmetrize,2.9,dscog006
A2,0,score-nosym,7.5,dscog006
A2,0,score-sym,7.0,dscog006
A2,1,train,1304.6,dscog006
A2,1,generate,1234.9,dscog006
A2,1,symmetrize,3.1,dscog006
A2,1,score-nosym,10.3,dscog006
A2,1,score-sym,7.2,dscog006
A2,2,train,1285.9,dscog006
A2,2,generate,1236.3,dscog006
A2,2,symmetrize,3.0,dscog006
A2,2,score-nosym,7.8,dscog006
A2,2,score-sym,7.0,dscog006
A3,0,train,1481.2,dscog006
A3,0,generate,1290.5,dscog006
A3,0,symmetrize,3.0,dscog006
A3,0,score-nosym,7.7,dscog006
A3,0,score-sym,7.0,dscog006
A3,1,train,1468.5,dscog003
A3,1,generate,1319.0,dscog003
A3,1,symmetrize,3.3,dscog003
A3,1,score-nosym,8.6,dscog003
A3,1,score-sym,7.7,dscog003
A3,2,train,1480.0,dscog003
A3,2,generate,1356.4,dscog003
A3,2,symmetrize,2.9,dscog003
A3,2,score-nosym,7.2,dscog003
A3,2,score-sym,6.5,dscog003
A3_nogate,0,train,1506,dscog011
A3_nogate,0,generate,1199,dscog011
A3_nogate,1,train,1508,dscog012
A3_nogate,1,generate,1216,dscog012
A3_nogate,2,train,1511,dscog012
A3_nogate,2,generate,1198,dscog012
A4,0,train,1448.2,dscog003
A4,0,generate,1371.3,dscog003
A4,0,symmetrize,2.9,dscog003
A4,0,score-nosym,7.3,dscog003
A4,0,score-sym,6.9,dscog003
A4,1,train,1480.4,dscog006
A4,1,generate,1280.2,dscog006
A4,1,symmetrize,3.0,dscog006
A4,1,score-nosym,7.7,dscog006
A4,1,score-sym,7.0,dscog006
A4,2,train,1571.8,dscog004
A4,2,generate,1194.7,dscog004
A4,2,symmetrize,3.2,dscog004
A4,2,score-nosym,7.9,dscog004
A4,2,score-sym,7.2,dscog004
A6,0,train,1516.6,dscog003
A6,0,generate,1326.5,dscog003
A6,0,symmetrize,2.8,dscog003
A6,0,score-nosym,7.1,dscog003
A6,0,score-sym,6.3,dscog003
A6,1,train,1474.8,dscog006
A6,1,generate,1204.1,dscog006
A6,1,symmetrize,3.0,dscog006
A6,1,score-nosym,7.9,dscog006
A6,1,score-sym,7.0,dscog006
A6,2,train,1502.8,dscog006
A6,2,generate,1232.3,dscog006
A6,2,symmetrize,3.0,dscog006
A6,2,score-nosym,7.8,dscog006
A6,2,score-sym,7.1,dscog006
nolg,0,train,1244.9,dscog010
nolg,0,generate,718.1,dscog010
nolg,0,symmetrize,3.3,dscog010
nolg,0,score-nosym,10.9,dscog010
nolg,0,score-sym,7.0,dscog010
nolg,1,train,1246.5,dscog011
nolg,1,generate,806.9,dscog011
nolg,1,symmetrize,2.8,dscog011
nolg,1,score-nosym,7.3,dscog011
nolg,1,score-sym,6.7,dscog011
nolg,2,train,1202.6,dscog011
nolg,2,generate,802.4,dscog011
nolg,2,symmetrize,3.0,dscog011
nolg,2,score-nosym,9.8,dscog011
nolg,2,score-sym,6.7,dscog011
