id,matched,rmsd
JVASP-14504,1,3.939163485784695e-16
JVASP-118334,0,
JVASP-67853,0,
JVASP-37103,0,
JVASP-14713,1,9.751825475663419e-17
JVASP-91708,0,
JVASP-11987,1,0.0
JVASP-116346,0,
JVASP-40500,1,1.8898815746552323e-06
JVASP-85032,0,
JVASP-41894,1,1.8898815748138796e-06
JVASP-19783,1,3.16430610521051e-16
JVASP-67604,0,
JVASP-134931,0,
JVASP-36173,1,0.0
JVASP-38887,0,
JVASP-15727,0,
JVASP-18765,1,3.386512259902271e-16
JVASP-93220,1,0.0
JVASP-17902,0,
JVASP-18219,1,2.235389109426295e-16
JVASP-40030,0,
JVASP-138738,0,
JVASP-67811,0,
JVASP-117964,0,
JVASP-19755,1,0.33385166677278705
JVASP-74557,1,4.190491961742754e-05
JVASP-14508,1,2.404783883109167e-16
JVASP-19769,0,
JVASP-120303,0,
JVASP-62158,0,
JVASP-39222,1,0.0
JVASP-7935,1,2.245320822354317e-16
JVASP-35775,1,0.0
JVASP-17455,0,
JVASP-39845,1,2.182247272002068e-06
JVASP-39772,1,2.182247147080041e-06
JVASP-120108,0,
JVASP-134667,0,
JVASP-37753,1,3.090789655959124e-06
JVASP-20517,1,3.265806156273997e-16
JVASP-115500,1,0.4421763666161305
JVASP-20590,1,0.0
JVASP-961,0,
JVASP-16583,1,2.6175926050318166e-16
JVASP-56205,0,
JVASP-39836,1,1.8898815748126866e-06
JVASP-17912,0,
JVASP-134821,1,0.3787126761991163
JVASP-137891,0,
JVASP-36265,1,5.044414402665354e-16
JVASP-14960,0,
JVASP-14903,0,
JVASP-139627,0,
JVASP-113989,0,
JVASP-19736,1,0.020104134585891296
JVASP-15912,1,1.8808580898864401e-16
JVASP-40492,1,2.182247272158093e-06
JVASP-37092,0,
JVASP-116053,0,
JVASP-105726,0,
JVASP-41603,1,1.889881575065292e-06
JVASP-113491,0,
JVASP-39970,1,1.8898815748479003e-06
JVASP-15729,1,0.0
JVASP-19914,0,
JVASP-114341,0,
JVASP-67265,0,
JVASP-118592,1,0.06784413281830456
JVASP-41865,1,1.8898815748479102e-06
JVASP-100039,0,
JVASP-136919,0,
JVASP-121083,0,
JVASP-36745,0,
JVASP-90839,0,
JVASP-99747,1,2.306784487284079e-16
JVASP-102805,0,
JVASP-14646,1,0.0
JVASP-70115,1,1.5042151855231963e-05
JVASP-14933,0,
JVASP-134385,0,
JVASP-20620,0,
JVASP-65132,0,
JVASP-106126,0,
JVASP-56726,0,
JVASP-94831,1,0.001199960307192957
JVASP-129329,0,
JVASP-11984,0,
JVASP-40613,1,2.182247272171406e-06
JVASP-17669,0,
JVASP-16463,0,
JVASP-100385,0,
JVASP-106847,0,
JVASP-69967,0,
JVASP-16550,1,0.10548826485232284
JVASP-17540,1,4.86753075526636e-16
JVASP-68524,0,
JVASP-20098,1,0.0
JVASP-40540,1,1.8898815748117788e-06
JVASP-111325,1,2.3065551799416437e-16
JVASP-74781,0,
JVASP-910,0,
JVASP-71553,1,0.010280773436150506
