id,matched,rmsd
JVASP-14504,1,4.015735970087986e-16
JVASP-118334,0,
JVASP-67853,0,
JVASP-37103,0,
JVASP-14713,1,9.748881741771421e-17
JVASP-91708,0,
JVASP-11987,0,
JVASP-116346,0,
JVASP-40500,1,1.88988157466122e-06
JVASP-85032,0,
JVASP-41894,1,1.889881575001059e-06
JVASP-19783,1,0.3341453205756546
JVASP-67604,0,
JVASP-134931,0,
JVASP-36173,1,0.0
JVASP-38887,0,
JVASP-15727,0,
JVASP-18765,1,2.003295828792416e-16
JVASP-93220,1,0.0
JVASP-17902,0,
JVASP-18219,1,2.0656897952587863e-16
JVASP-40030,1,2.182245199561787e-06
JVASP-138738,0,
JVASP-67811,0,
JVASP-117964,1,0.29258583820083994
JVASP-19755,0,
JVASP-74557,1,4.201373752438207e-05
JVASP-14508,1,2.4045010209353727e-16
JVASP-19769,0,
JVASP-120303,0,
JVASP-62158,0,
JVASP-39222,1,0.0
JVASP-7935,1,2.493259393368713e-16
JVASP-35775,1,0.0
JVASP-17455,0,
JVASP-39845,1,2.1822472720637913e-06
JVASP-39772,0,
JVASP-120108,0,
JVASP-134667,0,
JVASP-37753,1,3.091353946712287e-06
JVASP-20517,1,2.3326304512099757e-16
JVASP-115500,0,
JVASP-20590,1,0.0
JVASP-961,1,0.0
JVASP-16583,1,2.214525601268274e-16
JVASP-56205,1,0.39636193961179306
JVASP-39836,1,1.8900520058306858e-06
JVASP-17912,0,
JVASP-134821,1,0.3726026282791589
JVASP-137891,0,
JVASP-36265,1,5.217283755748527e-16
JVASP-14960,0,
JVASP-14903,0,
JVASP-139627,0,
JVASP-113989,0,
JVASP-19736,0,
JVASP-15912,1,2.405109139470668e-16
JVASP-40492,1,2.182247272079107e-06
JVASP-37092,0,
JVASP-116053,0,
JVASP-105726,1,0.0063034231581520425
JVASP-41603,1,1.889881574854555e-06
JVASP-113491,0,
JVASP-39970,1,1.889881574838551e-06
JVASP-15729,1,0.0
JVASP-19914,1,0.0042188719441441395
JVASP-114341,0,
JVASP-67265,0,
JVASP-118592,1,0.07058207483481581
JVASP-41865,1,1.889881574759023e-06
JVASP-100039,0,
JVASP-136919,0,
JVASP-121083,0,
JVASP-36745,0,
JVASP-90839,0,
JVASP-99747,1,1.8155242773905542e-16
JVASP-102805,0,
JVASP-14646,1,0.0
JVASP-70115,1,1.5065953245436905e-05
JVASP-14933,0,
JVASP-134385,0,
JVASP-20620,1,0.0008666409653440805
JVASP-65132,0,
JVASP-106126,0,
JVASP-56726,0,
JVASP-94831,1,0.0003502625683091517
JVASP-129329,0,
JVASP-11984,0,
JVASP-40613,1,2.1822472721156645e-06
JVASP-17669,0,
JVASP-16463,1,1.9810416794546058e-16
JVASP-100385,1,0.0026327160205678784
JVASP-106847,0,
JVASP-69967,0,
JVASP-16550,1,2.3485555035011486e-16
JVASP-17540,1,2.7878936609485306e-16
JVASP-68524,0,
JVASP-20098,1,0.0
JVASP-40540,1,1.889881574829601e-06
JVASP-111325,1,1.3048770255954975e-16
JVASP-74781,0,
JVASP-910,0,
JVASP-71553,1,0.011869616450267953
