id,matched,rmsd
JVASP-14504,1,4.236520086335777e-16
JVASP-118334,0,
JVASP-67853,0,
JVASP-37103,0,
JVASP-14713,1,9.748588865362768e-17
JVASP-91708,0,
JVASP-11987,1,0.0
JVASP-116346,0,
JVASP-40500,1,1.8898815746631776e-06
JVASP-85032,0,
JVASP-41894,1,1.8898815749914177e-06
JVASP-19783,1,9.849877936170423e-17
JVASP-67604,0,
JVASP-134931,0,
JVASP-36173,1,0.0
JVASP-38887,0,
JVASP-15727,0,
JVASP-18765,1,4.805810684818449e-16
JVASP-93220,1,0.0
JVASP-17902,0,
JVASP-18219,1,1.8366075694247307e-16
JVASP-40030,1,2.1822451996386122e-06
JVASP-138738,0,
JVASP-67811,0,
JVASP-117964,1,0.2923860754401655
JVASP-19755,1,0.33393978939837193
JVASP-74557,1,4.1888550038675125e-05
JVASP-14508,0,
JVASP-19769,0,
JVASP-120303,0,
JVASP-62158,1,0.007235389554121473
JVASP-39222,1,0.0
JVASP-7935,1,1.8117153944181944e-16
JVASP-35775,1,0.0
JVASP-17455,0,
JVASP-39845,1,2.182247272023391e-06
JVASP-39772,1,2.1822471470386684e-06
JVASP-120108,0,
JVASP-134667,0,
JVASP-37753,1,3.091182256552823e-06
JVASP-20517,1,1.8499572548512999e-16
JVASP-115500,0,
JVASP-20590,1,0.0
JVASP-961,0,
JVASP-16583,1,4.1129486948914456e-16
JVASP-56205,0,
JVASP-39836,1,1.890085830090889e-06
JVASP-17912,0,
JVASP-134821,0,
JVASP-137891,0,
JVASP-36265,1,4.021363019839138e-16
JVASP-14960,0,
JVASP-14903,0,
JVASP-139627,0,
JVASP-113989,0,
JVASP-19736,0,
JVASP-15912,1,2.9560452900288675e-16
JVASP-40492,1,2.1822472721127714e-06
JVASP-37092,0,
JVASP-116053,0,
JVASP-105726,0,
JVASP-41603,1,1.889881574983551e-06
JVASP-113491,0,
JVASP-39970,1,1.8898815748295432e-06
JVASP-15729,1,0.0
JVASP-19914,1,0.0029660865416709856
JVASP-114341,0,
JVASP-67265,0,
JVASP-118592,1,0.06772128733954992
JVASP-41865,1,1.8898815748853476e-06
JVASP-100039,0,
JVASP-136919,0,
JVASP-121083,0,
JVASP-36745,0,
JVASP-90839,0,
JVASP-99747,0,
JVASP-102805,0,
JVASP-14646,1,0.0
JVASP-70115,1,1.5044975641381954e-05
JVASP-14933,0,
JVASP-134385,0,
JVASP-20620,1,0.3011493684571352
JVASP-65132,0,
JVASP-106126,0,
JVASP-56726,0,
JVASP-94831,1,0.000832582025973471
JVASP-129329,0,
JVASP-11984,0,
JVASP-40613,0,
JVASP-17669,0,
JVASP-16463,1,3.255429163673253e-16
JVASP-100385,1,0.0011134525593597582
JVASP-106847,0,
JVASP-69967,0,
JVASP-16550,0,
JVASP-17540,1,5.814599413672649e-16
JVASP-68524,0,
JVASP-20098,1,0.0
JVASP-40540,1,1.88988157476059e-06
JVASP-111325,1,1.3050937011422885e-16
JVASP-74781,0,
JVASP-910,0,
JVASP-71553,1,0.013912279346761898
