arm,seed,peak_gpu_mem_mib,mean_gpu_util_pct,median_gpu_util_pct,mean_power_w,est_energy_kwh,n_samples
A0,0,4031.0,52.9,55.5,90.1,0.0667,84
A0,1,4031.0,52.9,55.5,90.1,0.0674,84
A0,2,4031.0,54.3,52.0,97.1,0.0727,82
A1,0,4031.0,50.3,54.0,90.4,0.0711,89
A1,1,9757.0,51.3,49.0,91.2,0.07,93
A1,2,8403.0,50.8,51.0,92.6,0.0706,93
A2,0,8403.0,50.8,51.0,92.6,0.0666,93
A2,1,8403.0,50.8,51.0,92.6,0.0659,93
A2,2,8403.0,50.8,51.0,92.6,0.0653,93
A3,0,8403.0,50.8,51.0,92.6,0.0717,93
A3,1,7023.0,49.1,51.0,87.8,0.0685,94
A3,2,7023.0,49.1,51.0,87.8,0.0696,94
A3_nogate,0,,,,,,
A3_nogate,1,,,,,,
A3_nogate,2,,,,,,
A4,0,7023.0,49.1,51.0,87.8,0.0692,94
A4,1,8403.0,50.8,51.0,92.6,0.0715,93
A4,2,9757.0,51.3,49.0,91.2,0.0705,93
A6,0,7023.0,49.1,51.0,87.8,0.0697,94
A6,1,5487.0,52.9,52.0,91.3,0.0684,90
A6,2,5487.0,52.9,52.0,91.3,0.0698,90
nolg,0,4031.0,54.3,52.0,97.1,0.0535,82
nolg,1,1181.0,35.4,39.0,68.7,0.0395,70
nolg,2,1181.0,35.4,39.0,68.7,0.0386,70
