JobID|JobName|State|ExitCode|Partition|NodeList|ReqTRES|AllocTRES|Submit|Start|End|Planned|Elapsed|ElapsedRaw|TotalCPU|CPUTimeRAW|MaxRSS|MaxVMSize|AveCPU|MaxDiskRead|MaxDiskWrite|ConsumedEnergy
140181|csp-smoke|FAILED|2:0|debug|dscog001|billing=8,cpu=8,mem=32768M,node=1|billing=8,cpu=8,mem=32768M,node=1|2026-08-30T14:15:02|2026-08-30T14:15:02|2026-08-30T14:27:36|00:00:00|00:12:34|754|27:54.131|6032||||||
140181.batch|batch|FAILED|2:0||dscog001||cpu=8,mem=32768M,node=1|2026-08-30T14:15:02|2026-08-30T14:15:02|2026-08-30T14:27:36||00:12:34|754|27:54.131|6032|9385.26M|0|00:27:53|21075.13M|92.85M|0
140182|csp-probe|COMPLETED|0:0|debug|dscog001|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:15:02|2026-08-30T14:15:03|2026-08-30T14:16:17|00:00:01|00:01:14|74|01:45.721|592||||||
140182.batch|batch|COMPLETED|0:0||dscog001||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:15:03|2026-08-30T14:15:03|2026-08-30T14:16:17||00:01:14|74|01:45.721|592|1704.54M|0|00:01:45|133.11M|1663.74M|0
140183|csp-smoke|FAILED|2:0|debug|dscog001|billing=8,cpu=8,mem=32768M,node=1|billing=8,cpu=8,mem=32768M,node=1|2026-08-30T14:27:56|2026-08-30T14:27:59|2026-08-30T14:27:59|00:00:03|00:00:00|0|00:00.196|0||||||
140183.batch|batch|FAILED|2:0||dscog001||cpu=8,mem=32768M,node=1|2026-08-30T14:27:59|2026-08-30T14:27:59|2026-08-30T14:27:59||00:00:00|0|00:00.196|0|0.45M|0|00:00:00|0|0.00M|0
140184|csp-smoke|COMPLETED|0:0|debug|dscog001|billing=8,cpu=8,mem=32768M,node=1|billing=8,cpu=8,mem=32768M,node=1|2026-08-30T14:29:35|2026-08-30T14:29:35|2026-08-30T14:30:43|00:00:00|00:01:08|68|03:36.588|544||||||
140184.batch|batch|COMPLETED|0:0||dscog001||cpu=8,mem=32768M,node=1|2026-08-30T14:29:35|2026-08-30T14:29:35|2026-08-30T14:30:43||00:01:08|68|03:36.588|544|7524.14M|0|00:03:36|2072.71M|87.21M|0
140186|csp-aggregate|COMPLETED|0:0|gpu_7day|dscog004|billing=2,cpu=2,mem=8192M,node=1|billing=2,cpu=2,mem=8192M,node=1|2026-08-30T14:31:33|2026-08-30T16:47:14|2026-08-30T16:47:17|00:00:00|00:00:03|3|00:02.038|6||||||
140186.batch|batch|COMPLETED|0:0||dscog004||cpu=2,mem=8192M,node=1|2026-08-30T16:47:14|2026-08-30T16:47:14|2026-08-30T16:47:17||00:00:03|3|00:02.038|6|14.88M|0|00:00:02|0|0.00M|0
140188|csp-aggregate|COMPLETED|0:0|gpu_7day|dscog004|billing=2,cpu=2,mem=8192M,node=1|billing=2,cpu=2,mem=8192M,node=1|2026-08-30T14:31:33|2026-08-30T15:13:21|2026-08-30T15:13:23|00:00:00|00:00:02|2|00:02.006|4||||||
140188.batch|batch|COMPLETED|0:0||dscog004||cpu=2,mem=8192M,node=1|2026-08-30T15:13:21|2026-08-30T15:13:21|2026-08-30T15:13:23||00:00:02|2|00:02.006|4|5.41M|0|00:00:02|0|0.00M|0
140185_0|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog003|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:33|2026-08-30T15:15:43|00:00:00|00:44:10|2650|02:32:47|21200||||||
140185_0.batch|batch|COMPLETED|0:0||dscog003||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:33|2026-08-30T15:15:43||00:44:10|2650|02:32:47|21200|5450.80M|0|02:32:46|1608.48M|9259.05M|0
140185_1|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog003|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:34|2026-08-30T15:15:49|00:00:01|00:44:15|2655|02:32:51|21240||||||
140185_1.batch|batch|COMPLETED|0:0||dscog003||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:34|2026-08-30T14:31:34|2026-08-30T15:15:49||00:44:15|2655|02:32:51|21240|5082.24M|0|02:32:50|1608.51M|8736.24M|0
140185_2|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog003|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T14:31:34|2026-08-30T15:15:33|00:00:01|00:43:59|2639|02:29:07|21112||||||
